warehouse_id,shift_id,work_date,labor_hours,labor_cost
2,3,2026-06-11,6.52,159.22
3,1,2026-06-11,9.01,164.17
3,2,2026-06-11,8.46,151.46
3,3,2026-06-11,4.92,96.58
1,1,2026-06-12,15.17,317.09
1,2,2026-06-12,12.99,270.21
1,3,2026-06-12,7.77,175.59
2,1,2026-06-12,17.82,445.67
2,2,2026-06-12,14.61,375.52
2,3,2026-06-12,9.9,264.54
3,1,2026-06-12,10.26,181.77
3,2,2026-06-12,10.53,190.58
3,3,2026-06-12,6.83,134.25
1,1,2026-06-13,5.72,107.98
1,2,2026-06-13,6.01,114.13
1,3,2026-06-13,3.78,78.83
2,1,2026-06-13,7.42,173.14
2,2,2026-06-13,6.79,157.91
2,3,2026-06-13,3.8,92.35
3,1,2026-06-13,5.56,98.49
3,2,2026-06-13,5.87,107.45
3,3,2026-06-13,3.47,67.16
1,1,2026-06-14,5.17,97.95
1,2,2026-06-14,5.21,98.53
1,3,2026-06-14,2.95,61.55
2,1,2026-06-14,5.9,133.27
2,2,2026-06-14,5.79,135.42
2,3,2026-06-14,3.68,91.39
3,1,2026-06-14,5.28,93.53
3,2,2026-06-14,4.35,79.2
3,3,2026-06-14,2.61,51.19
1,1,2026-06-15,7.39,137.93
1,2,2026-06-15,8.37,158.33
1,3,2026-06-15,4.92,101.48
2,1,2026-06-15,8.78,202.1
2,2,2026-06-15,9.8,227.75
2,3,2026-06-15,5.3,127.77
3,1,2026-06-15,6.81,120.49
3,2,2026-06-15,7.41,133.77
3,3,2026-06-15,4.83,94.43
1,1,2026-06-16,6.63,124.06
1,2,2026-06-16,7.47,140.36
1,3,2026-06-16,4.29,87.21
2,1,2026-06-16,8.57,196.65
2,2,2026-06-16,8.26,192.42
2,3,2026-06-16,5.3,131.19
3,1,2026-06-16,6.46,117.94
3,2,2026-06-16,7.23,132.22
3,3,2026-06-16,4.13,81.35
1,1,2026-06-17,8.72,165.38
1,2,2026-06-17,8.1,151.19
1,3,2026-06-17,5.28,109.43
2,1,2026-06-17,9.26,216.93
2,2,2026-06-17,10.99,252.67
2,3,2026-06-17,5.32,129.9
3,1,2026-06-17,7.87,144.49
3,2,2026-06-17,7.41,135.45
3,3,2026-06-17,5.3,105.03
1,1,2026-06-18,8.56,159.58
1,2,2026-06-18,9.01,174.16
1,3,2026-06-18,5.73,115.41
2,1,2026-06-18,10.11,231.6
2,2,2026-06-18,11.65,271.02
2,3,2026-06-18,6.27,156.16
3,1,2026-06-18,7.66,135.56
3,2,2026-06-18,8.06,146.31
3,3,2026-06-18,4.68,91.32
1,1,2026-06-19,13.22,251.22
1,2,2026-06-19,12.07,229.86
1,3,2026-06-19,6.45,134.48
2,1,2026-06-19,12.43,281.56
2,2,2026-06-19,13.14,297.71
2,3,2026-06-19,8.11,200.79
3,1,2026-06-19,9.9,180.23
3,2,2026-06-19,11.78,212.68
3,3,2026-06-19,5.8,113.01
1,1,2026-06-20,6.19,117.26
1,2,2026-06-20,6.13,114.41
1,3,2026-06-20,3.47,70.74
2,1,2026-06-20,7.19,167.49
2,2,2026-06-20,7.26,167.98
2,3,2026-06-20,3.63,89.01
3,1,2026-06-20,6.04,107.41
3,2,2026-06-20,4.94,87.86
3,3,2026-06-20,3.49,67.23
1,1,2026-06-21,5.45,102.66
1,2,2026-06-21,5.4,100.98
1,3,2026-06-21,2.95,61.04
2,1,2026-06-21,5.77,133.29
2,2,2026-06-21,5.61,129.86
2,3,2026-06-21,3.64,87.55
3,1,2026-06-21,4.54,81.67
3,2,2026-06-21,4.48,82.22
3,3,2026-06-21,2.97,58.07
1,1,2026-06-22,8.77,168.26
1,2,2026-06-22,6.96,134.17
1,3,2026-06-22,4.52,91.05
2,1,2026-06-22,10.93,275.06
2,2,2026-06-22,12.61,324.23
2,3,2026-06-22,6.62,180.65
3,1,2026-06-22,7.92,144.61
3,2,2026-06-22,6.54,118.02
3,3,2026-06-22,4.03,80.09
1,1,2026-06-23,7.55,145.64
1,2,2026-06-23,6.95,131.88
1,3,2026-06-23,4.58,94.59
2,1,2026-06-23,8.28,191.51
2,2,2026-06-23,9.44,219.76
2,3,2026-06-23,4.61,114.45
3,1,2026-06-23,6.8,121.08
3,2,2026-06-23,6.4,114.44
3,3,2026-06-23,4.0,77.77
1,1,2026-06-24,9.17,175.45
1,2,2026-06-24,8.83,169.42
1,3,2026-06-24,5.14,107.32
2,1,2026-06-24,9.96,231.3
2,2,2026-06-24,9.72,219.95
2,3,2026-06-24,6.44,160.45
3,1,2026-06-24,7.82,141.5
3,2,2026-06-24,8.92,160.38
3,3,2026-06-24,4.76,94.58
1,1,2026-06-25,9.95,188.42
1,2,2026-06-25,9.64,182.73
1,3,2026-06-25,5.94,121.41
2,1,2026-06-25,11.17,261.81
2,2,2026-06-25,10.89,245.61
2,3,2026-06-25,6.71,163.6
3,1,2026-06-25,9.55,170.27
3,2,2026-06-25,9.13,166.18
3,3,2026-06-25,5.13,98.74
1,1,2026-06-26,10.75,206.68
1,2,2026-06-26,11.53,218.05
1,3,2026-06-26,7.26,148.56
2,1,2026-06-26,12.86,290.77
2,2,2026-06-26,12.81,294.5
2,3,2026-06-26,8.59,211.82
3,1,2026-06-26,10.21,182.3
3,2,2026-06-26,10.67,193.17
3,3,2026-06-26,6.56,128.34
1,1,2026-06-27,6.59,127.5
1,2,2026-06-27,5.78,107.65
1,3,2026-06-27,3.84,78.25
2,1,2026-06-27,7.39,170.59
2,2,2026-06-27,7.03,159.63
2,3,2026-06-27,4.5,112.09
3,1,2026-06-27,6.06,108.09
3,2,2026-06-27,5.55,101.45
3,3,2026-06-27,3.06,60.55
1,1,2026-06-28,7.53,181.82
1,2,2026-06-28,8.33,195.12
1,3,2026-06-28,4.63,118.68
2,1,2026-06-28,8.8,254.09
2,2,2026-06-28,9.37,266.87
2,3,2026-06-28,5.27,159.41
3,1,2026-06-28,6.69,148.3
3,2,2026-06-28,6.69,149.13
3,3,2026-06-28,4.16,100.64
1,1,2026-06-29,11.06,258.76
1,2,2026-06-29,12.28,290.73
1,3,2026-06-29,6.89,175.96
2,1,2026-06-29,16.35,517.21
2,2,2026-06-29,19.37,609.17
2,3,2026-06-29,9.65,328.1
3,1,2026-06-29,10.82,246.91
3,2,2026-06-29,12.52,285.17
3,3,2026-06-29,7.03,172.19
1,1,2026-06-30,12.18,284.11
1,2,2026-06-30,13.09,307.47
1,3,2026-06-30,7.24,184.21
2,1,2026-06-30,13.77,396.03
2,2,2026-06-30,13.01,370.53
2,3,2026-06-30,7.46,231.92
3,1,2026-06-30,10.02,226.91
3,2,2026-06-30,11.02,248.56
3,3,2026-06-30,6.64,163.25
1,1,2026-07-01,10.25,196.89
1,2,2026-07-01,9.84,190.09
1,3,2026-07-01,5.08,102.09
2,1,2026-07-01,9.69,222.66
2,2,2026-07-01,10.54,242.15
2,3,2026-07-01,6.79,166.4
3,1,2026-07-01,8.93,159.47
3,2,2026-07-01,8.52,151.0
3,3,2026-07-01,4.83,93.27
1,1,2026-07-02,9.57,182.34
1,2,2026-07-02,10.6,203.08
1,3,2026-07-02,5.37,108.57
2,1,2026-07-02,9.52,221.58
2,2,2026-07-02,12.12,273.25
2,3,2026-07-02,6.26,150.33
3,1,2026-07-02,8.57,152.97
3,2,2026-07-02,9.51,168.65
3,3,2026-07-02,4.81,92.39
1,1,2026-07-03,11.6,221.75
1,2,2026-07-03,11.91,229.76
1,3,2026-07-03,6.96,141.05
2,1,2026-07-03,13.82,321.54
2,2,2026-07-03,14.88,341.28
2,3,2026-07-03,8.45,205.55
3,1,2026-07-03,12.15,214.53
3,2,2026-07-03,10.97,196.32
3,3,2026-07-03,6.24,119.92
1,1,2026-07-04,6.92,131.73
1,2,2026-07-04,5.67,108.03
1,3,2026-07-04,4.09,85.45
2,1,2026-07-04,7.92,184.41
2,2,2026-07-04,7.35,167.64
2,3,2026-07-04,4.08,98.38
3,1,2026-07-04,6.42,114.41
3,2,2026-07-04,5.55,98.33
3,3,2026-07-04,3.54,70.41
1,1,2026-07-05,5.06,95.77
1,2,2026-07-05,5.94,113.9
1,3,2026-07-05,3.05,62.79
2,1,2026-07-05,6.42,145.33
2,2,2026-07-05,6.74,157.68
2,3,2026-07-05,3.67,91.04
3,1,2026-07-05,4.98,89.3
3,2,2026-07-05,5.18,92.7
3,3,2026-07-05,2.92,57.66
1,1,2026-07-06,8.58,161.98
1,2,2026-07-06,8.35,156.83
1,3,2026-07-06,4.87,99.1
2,1,2026-07-06,11.75,295.64
2,2,2026-07-06,10.7,266.57
2,3,2026-07-06,7.9,211.66
3,1,2026-07-06,9.73,194.07
3,2,2026-07-06,8.91,179.15
3,3,2026-07-06,5.42,117.9
1,1,2026-07-07,7.2,135.43
1,2,2026-07-07,8.27,156.22
1,3,2026-07-07,4.47,92.38
2,1,2026-07-07,8.78,204.82
2,2,2026-07-07,10.11,236.78
2,3,2026-07-07,5.03,121.92
3,1,2026-07-07,7.33,130.32
3,2,2026-07-07,7.85,143.85
3,3,2026-07-07,3.96,77.68
1,1,2026-07-08,9.79,183.95
1,2,2026-07-08,9.7,181.54
1,3,2026-07-08,5.52,113.98
2,1,2026-07-08,9.65,221.7
2,2,2026-07-08,11.01,249.55
2,3,2026-07-08,6.7,161.93
3,1,2026-07-08,8.15,147.35
3,2,2026-07-08,8.86,160.72
3,3,2026-07-08,5.3,105.35
1,1,2026-07-09,9.19,177.05
1,2,2026-07-09,11.28,215.09
1,3,2026-07-09,6.63,135.86
2,1,2026-07-09,11.56,263.93
2,2,2026-07-09,11.33,264.66
2,3,2026-07-09,6.02,145.31
3,1,2026-07-09,9.39,169.32
3,2,2026-07-09,7.98,140.87
3,3,2026-07-09,5.85,114.45
1,1,2026-07-10,11.58,222.94
1,2,2026-07-10,13.22,246.42
1,3,2026-07-10,7.87,159.7
2,1,2026-07-10,13.95,317.88
2,2,2026-07-10,16.19,367.3
2,3,2026-07-10,7.91,191.05
3,1,2026-07-10,11.98,214.16
3,2,2026-07-10,12.46,222.74
3,3,2026-07-10,6.29,124.77
1,1,2026-07-11,6.54,122.31
1,2,2026-07-11,6.41,119.48
1,3,2026-07-11,3.61,73.16
2,1,2026-07-11,7.53,171.25
2,2,2026-07-11,8.05,182.73
2,3,2026-07-11,4.52,112.15
3,1,2026-07-11,6.47,114.63
3,2,2026-07-11,6.22,111.36
3,3,2026-07-11,3.22,63.08
1,1,2026-07-12,5.78,108.41
1,2,2026-07-12,5.04,95.14
1,3,2026-07-12,2.92,58.73
2,1,2026-07-12,6.39,147.91
2,2,2026-07-12,6.55,152.5
2,3,2026-07-12,3.44,85.73
3,1,2026-07-12,4.89,88.05
3,2,2026-07-12,4.91,89.59
3,3,2026-07-12,2.75,52.61
1,1,2026-07-13,8.45,161.0
1,2,2026-07-13,8.56,162.53
1,3,2026-07-13,4.94,102.9
2,1,2026-07-13,12.56,315.79
2,2,2026-07-13,12.18,312.55
2,3,2026-07-13,7.11,191.63
3,1,2026-07-13,8.3,148.75
3,2,2026-07-13,7.24,130.59
3,3,2026-07-13,4.18,81.92
1,1,2026-07-14,8.45,162.96
1,2,2026-07-14,7.79,150.8
1,3,2026-07-14,4.46,91.73
2,1,2026-07-14,8.69,201.02
2,2,2026-07-14,10.13,231.25
2,3,2026-07-14,5.24,126.81
3,1,2026-07-14,7.44,134.57
3,2,2026-07-14,8.06,146.09
3,3,2026-07-14,4.5,87.77
1,1,2026-07-15,9.85,186.93
1,2,2026-07-15,10.02,189.23
1,3,2026-07-15,5.55,115.62
2,1,2026-07-15,9.67,219.34
2,2,2026-07-15,9.95,232.72
2,3,2026-07-15,6.99,172.22
3,1,2026-07-15,9.22,164.63
3,2,2026-07-15,8.64,154.58
3,3,2026-07-15,4.62,89.41
1,1,2026-07-16,10.36,195.98
1,2,2026-07-16,9.09,170.75
1,3,2026-07-16,5.67,118.56
2,1,2026-07-16,14.14,359.85
2,2,2026-07-16,15.04,387.3
2,3,2026-07-16,8.55,231.98
3,1,2026-07-16,10.35,187.96
3,2,2026-07-16,10.21,184.4
3,3,2026-07-16,5.11,98.26
1,1,2026-07-17,11.76,225.75
1,2,2026-07-17,10.97,207.09
1,3,2026-07-17,7.8,161.11
2,1,2026-07-17,13.27,304.03
2,2,2026-07-17,15.29,347.27
2,3,2026-07-17,8.65,214.27
3,1,2026-07-17,12.78,248.18
3,2,2026-07-17,16.15,325.38
3,3,2026-07-17,8.76,187.98
1,1,2026-07-18,6.16,117.61
1,2,2026-07-18,6.5,121.42
1,3,2026-07-18,4.1,84.03
2,1,2026-07-18,8.26,191.78
2,2,2026-07-18,7.59,175.32
2,3,2026-07-18,4.3,107.21
3,1,2026-07-18,5.9,106.18
3,2,2026-07-18,6.05,107.21
3,3,2026-07-18,3.63,71.94
1,1,2026-07-19,5.89,113.25
1,2,2026-07-19,5.59,106.5
1,3,2026-07-19,3.44,70.57
2,1,2026-07-19,6.3,143.04
2,2,2026-07-19,5.83,135.35
2,3,2026-07-19,3.75,91.48
3,1,2026-07-19,5.39,95.56
3,2,2026-07-19,5.09,91.01
3,3,2026-07-19,2.92,57.28
1,1,2026-07-20,8.1,152.62
1,2,2026-07-20,8.38,156.07
1,3,2026-07-20,4.76,98.36
2,1,2026-07-20,13.7,347.5
2,2,2026-07-20,10.87,276.52
2,3,2026-07-20,7.29,196.77
3,1,2026-07-20,10.05,195.33
3,2,2026-07-20,8.75,175.96
3,3,2026-07-20,5.54,119.97
1,1,2026-07-21,8.45,159.37
1,2,2026-07-21,7.39,139.44
1,3,2026-07-21,4.58,92.02
2,1,2026-07-21,9.82,221.88
2,2,2026-07-21,9.92,229.33
2,3,2026-07-21,6.09,150.45
3,1,2026-07-21,7.91,141.44
3,2,2026-07-21,7.0,123.66
3,3,2026-07-21,4.47,85.99
1,1,2026-07-22,10.13,188.85
1,2,2026-07-22,8.96,170.8
1,3,2026-07-22,5.44,110.63
2,1,2026-07-22,9.9,227.21
2,2,2026-07-22,10.95,252.86
2,3,2026-07-22,7.25,174.08
3,1,2026-07-22,8.55,152.59
3,2,2026-07-22,9.87,176.89
3,3,2026-07-22,5.15,101.53
1,1,2026-07-23,10.53,197.22
1,2,2026-07-23,9.93,188.63
1,3,2026-07-23,6.35,131.75
2,1,2026-07-23,12.37,279.09
2,2,2026-07-23,10.25,233.57
2,3,2026-07-23,6.5,159.58
3,1,2026-07-23,9.61,171.32
3,2,2026-07-23,9.13,163.62
3,3,2026-07-23,5.78,113.13
1,1,2026-07-24,12.77,238.38
1,2,2026-07-24,12.81,244.26
1,3,2026-07-24,7.56,157.24
2,1,2026-07-24,13.97,321.46
2,2,2026-07-24,14.8,335.72
2,3,2026-07-24,8.85,219.5
3,1,2026-07-24,10.29,184.77
3,2,2026-07-24,11.02,200.97
3,3,2026-07-24,6.85,134.99
1,1,2026-07-25,7.0,130.62
1,2,2026-07-25,7.04,131.33
1,3,2026-07-25,4.09,84.85
2,1,2026-07-25,7.18,164.86
2,2,2026-07-25,8.72,198.57
2,3,2026-07-25,4.21,103.21
3,1,2026-07-25,6.55,116.82
3,2,2026-07-25,6.97,127.22
3,3,2026-07-25,3.81,75.08
1,1,2026-07-26,6.05,113.41
1,2,2026-07-26,5.55,104.54
1,3,2026-07-26,3.15,63.74
2,1,2026-07-26,7.13,165.82
2,2,2026-07-26,6.07,142.19
2,3,2026-07-26,3.75,92.49
3,1,2026-07-26,5.35,97.43
3,2,2026-07-26,5.48,98.25
3,3,2026-07-26,2.9,57.41
